,refdes,stream,timestamp
136,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-19
137,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-20
138,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-26
139,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-27
140,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-24
141,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-22
142,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-21
143,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-04
144,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-17
145,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-29
146,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-28
147,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-07
148,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-05
149,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-31
150,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-03
151,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-25
152,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-08
153,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-01-30
154,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-11
155,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-06
156,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-15
157,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-14
158,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-12
159,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-10
160,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-17
161,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-19
162,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-09
163,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-13
164,RS03ECAL-MJ03E-06-BOTPTA302,botpt_nano_sample,2015-02-16
