refdes,stream,timestamp
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-06
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-01
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-07
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-04
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-09
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-05
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-11
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-12
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-13
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-08
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-15
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-10
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-17
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-18
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-14
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-21
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-16
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-23
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-20
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-24
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-19
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-22
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-25
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-01
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-26
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-29
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-27
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-30
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-06-28
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-04
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-02
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-09
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-03
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-06
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-11
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-07
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-08
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-13
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-10
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-12
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-14
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-18
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-17
