refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE04OSBP-LJ01C-05-ADCPSI103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP-LJ01C-06-CTDBPO108,,,,,,,,,,,,,,23%,30%,100%,93%,35%,100%,93%,13%,,,,,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE04OSBP-LJ01C-06-DOSTAD108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP-LJ01C-07-VEL3DC107,48%,,,,,,,,,,,,,23%,30%,100%,100%,35%,100%,96%,97%,100%,100%,100%,100%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE04OSBP-LJ01C-08-OPTAAC104,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,,,,,,,,,23%,100%,100%,100%,100%,100%,29%,,,,,
CE04OSBP-LJ01C-09-PCO2WB104,,,,,,,,,,,,,,23%,30%,100%,100%,35%,100%,96%,97%,100%,100%,100%,100%,90%,100%,77%,100%,90%,90%,100%,100%,73%,100%,97%,23%,100%,100%,100%,100%,100%,97%,100%,97%,100%,100%,100%
CE04OSBP-LJ01C-10-PHSEND107,,,,,,,,,,,,,,23%,30%,23%,10%,,,,,,,,,90%,100%,100%,100%,68%,,,,,,,23%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE04OSPD-DP01B-01-CTDPFL105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPD-DP01B-02-VEL3DA105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPD-DP01B-03-FLCDRA103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPD-DP01B-04-FLNTUA103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPD-DP01B-06-DOSTAD105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-PC01B-4A-CTDPFA109,,,,,,,,,,,,,,,,77%,20%,,74%,86%,97%,100%,100%,100%,48%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE04OSPS-PC01B-4A-DOSTAD109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-PC01B-4B-PHSENA106,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,100%,90%,90%,100%,100%,73%,100%,100%,42%,,,,,,,,,,,
CE04OSPS-PC01B-4D-PCO2WA105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-SF01B-2A-CTDPFA107,,,,,,,,,,,,,,,,,87%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,83%,100%,100%,94%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE04OSPS-SF01B-2A-DOFSTA107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-SF01B-2B-PHSENA108,,,,,,,,,,,,,,,,,,,,,,,,,,94%,100%,100%,100%,100%,100%,100%,100%,73%,100%,100%,81%,100%,93%,81%,70%,97%,61%,96%,100%,100%,100%,100%
