refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
RS03AXPS-SF03A-4A-NUTNRA301,,,,,,,,,,,,,,,,81%,27%,65%,100%,93%,97%,100%,100%,67%,81%,100%,100%,100%,100%,100%,100%,100%,100%,93%,100%,93%,71%,97%,93%,100%,97%,97%,48%,68%,100%,100%,100%,100%
RS03AXPS-SF03A-4B-VELPTD302,,,,,,,,,,,,,,,,81%,27%,81%,100%,61%,77%,,,,71%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03AXPS-SF03A-4F-PCO2WA301,,,,,,,,,,,,,,,,81%,27%,65%,100%,96%,97%,100%,100%,100%,97%,100%,100%,100%,93%,97%,100%,100%,100%,73%,100%,100%,74%,100%,93%,100%,100%,3%,,,,,,
RS03CCAL-MJ03F-05-BOTPTA301,,,,,,,,,,,,,,10%,100%,100%,100%,90%,100%,93%,97%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03ECAL-MJ03E-06-BOTPTA302,3%,,,,,,,,,,,,,,93%,100%,100%,90%,100%,93%,97%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03INT1-MJ03C-06-MASSPA301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-07-PPSDNA301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-07-RASFLA301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-09-THSPHA301,,,,,,,,,,,,,,,57%,100%,100%,87%,97%,82%,94%,100%,100%,97%,35%,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-10-TRHPHA301,,,,,,,,,,,,,,,90%,100%,100%,87%,100%,93%,94%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,87%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%
RS03INT2-MJ03D-06-BOTPTA303,,,,,,,,,,,,,,10%,100%,100%,100%,90%,100%,93%,97%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03INT2-MJ03D-12-VEL3DB304,,,,,,,,,,,,,,10%,100%,100%,93%,90%,100%,96%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,81%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
