refdes,method,stream,parameter
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,seawater_temperature
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,seawater_pressure
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,seawater_conductivity
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,density
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,practical_salinity
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,dissolved_oxygen
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,seawater_temperature
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,seawater_pressure
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,seawater_conductivity
RS03AXBS-LJ03A-12-DOSTAD301,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS03AXBS-MJ03A-05-HYDLFA301,streamed,iris,NULL
RS03AXBS-MJ03A-05-OBSBBA303,streamed,iris,NULL
RS03AXBS-MJ03A-06-PRESTA301,streamed,prest_real_time,seafloor_pressure
RS03AXBS-MJ03A-12-VEL3DB301,streamed,vel3d_b_sample,eastward_turbulent_velocity
RS03AXBS-MJ03A-12-VEL3DB301,streamed,vel3d_b_sample,northward_turbulent_velocity
RS03AXBS-MJ03A-12-VEL3DB301,streamed,vel3d_b_sample,upward_turbulent_velocity
RS03AXPD-DP03A-01-CTDPFL304,recovered_inst,dpc_ctd_instrument_recovered,pressure
RS03AXPD-DP03A-01-CTDPFL304,recovered_inst,dpc_ctd_instrument_recovered,density
RS03AXPD-DP03A-01-CTDPFL304,recovered_inst,dpc_ctd_instrument_recovered,temp
RS03AXPD-DP03A-01-CTDPFL304,recovered_inst,dpc_ctd_instrument_recovered,practical_salinity
RS03AXPD-DP03A-01-CTDPFL304,recovered_inst,dpc_ctd_instrument_recovered,dpc_ctd_seawater_conductivity
RS03AXPD-DP03A-01-CTDPFL304,recovered_wfp,dpc_ctd_instrument_recovered,pressure
RS03AXPD-DP03A-01-CTDPFL304,recovered_wfp,dpc_ctd_instrument_recovered,density
RS03AXPD-DP03A-01-CTDPFL304,recovered_wfp,dpc_ctd_instrument_recovered,temp
RS03AXPD-DP03A-01-CTDPFL304,recovered_wfp,dpc_ctd_instrument_recovered,practical_salinity
RS03AXPD-DP03A-01-CTDPFL304,recovered_wfp,dpc_ctd_instrument_recovered,dpc_ctd_seawater_conductivity
RS03AXPD-DP03A-02-VEL3DA303,recovered_inst,dpc_acm_instrument_recovered,vel3d_a_eastward_velocity
