"reference_designator","method","name","id","name","unit"
"CE01ISSM-RID16-05-PCO2WB000","recovered_host","pco2w_abc_dcl_instrument_blank_recovered","930","pco2w_thermistor_temperature","deg_C"
"CE01ISSM-RID16-05-PCO2WB000","recovered_host","pco2w_abc_dcl_instrument_recovered","930","pco2w_thermistor_temperature","deg_C"
"CE01ISSM-RID16-05-PCO2WB000","recovered_host","pco2w_abc_dcl_instrument_recovered","931","pco2_seawater","uatm"
"CE01ISSM-RID16-05-PCO2WB000","recovered_inst","pco2w_abc_instrument","930","pco2w_thermistor_temperature","deg_C"
"CE01ISSM-RID16-05-PCO2WB000","recovered_inst","pco2w_abc_instrument","931","pco2_seawater","uatm"
"CE01ISSM-RID16-05-PCO2WB000","recovered_inst","pco2w_abc_instrument_blank","930","pco2w_thermistor_temperature","deg_C"
"CE01ISSM-RID16-05-PCO2WB000","telemetered","pco2w_abc_dcl_instrument","930","pco2w_thermistor_temperature","deg_C"
"CE01ISSM-RID16-05-PCO2WB000","telemetered","pco2w_abc_dcl_instrument","931","pco2_seawater","uatm"
"CE01ISSM-RID16-05-PCO2WB000","telemetered","pco2w_abc_dcl_instrument_blank","930","pco2w_thermistor_temperature","deg_C"
"CE01ISSM-RID16-06-PHSEND000","recovered_host","phsen_abcdef_dcl_instrument_recovered","938","phsen_thermistor_temperature","V"
"CE01ISSM-RID16-06-PHSEND000","recovered_host","phsen_abcdef_dcl_instrument_recovered","2767","phsen_abcdef_ph_seawater","1"
"CE01ISSM-RID16-06-PHSEND000","recovered_inst","phsen_abcdef_instrument","938","phsen_thermistor_temperature","V"
"CE01ISSM-RID16-06-PHSEND000","recovered_inst","phsen_abcdef_instrument","2767","phsen_abcdef_ph_seawater","1"
"CE01ISSM-RID16-06-PHSEND000","telemetered","phsen_abcdef_dcl_instrument","938","phsen_thermistor_temperature","V"
"CE01ISSM-RID16-06-PHSEND000","telemetered","phsen_abcdef_dcl_instrument","2767","phsen_abcdef_ph_seawater","1"
"CE01ISSM-RID16-07-NUTNRB000","recovered_host","nutnr_b_dcl_conc_instrument_recovered","315","nitrate_concentration","uMol L-1"
"CE01ISSM-RID16-07-NUTNRB000","recovered_host","nutnr_b_dcl_dark_conc_instrument_recovered","315","nitrate_concentration","uMol L-1"
"CE01ISSM-RID16-07-NUTNRB000","recovered_inst","nutnr_b_dark_instrument_recovered","315","nitrate_concentration","uMol L-1"
"CE01ISSM-RID16-07-NUTNRB000","recovered_inst","nutnr_b_instrument_recovered","18","salinity_corrected_nitrate","µmol L-1"
"CE01ISSM-RID16-07-NUTNRB000","recovered_inst","nutnr_b_instrument_recovered","315","nitrate_concentration","uMol L-1"
"CE01ISSM-RID16-07-NUTNRB000","telemetered","nutnr_b_dcl_conc_instrument","315","nitrate_concentration","uMol L-1"
"CE01ISSM-RID16-07-NUTNRB000","telemetered","nutnr_b_dcl_dark_conc_instrument","315","nitrate_concentration","uMol L-1"
"CE01ISSM-RID16-08-SPKIRB000","recovered_host","spkir_abj_dcl_instrument_recovered","2766","spkir_abj_cspp_downwelling_vector","uW cm-2 nm-1"
"CE01ISSM-RID16-08-SPKIRB000","telemetered","spkir_abj_dcl_instrument","2766","spkir_abj_cspp_downwelling_vector","uW cm-2 nm-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_host","velpt_ab_dcl_diagnostics_recovered","1154","eastward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_host","velpt_ab_dcl_diagnostics_recovered","1155","northward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_host","velpt_ab_dcl_diagnostics_recovered","1156","upward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_host","velpt_ab_dcl_diagnostics_recovered","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-SBD17-04-VELPTA000","recovered_host","velpt_ab_dcl_instrument_recovered","1154","eastward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_host","velpt_ab_dcl_instrument_recovered","1155","northward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_host","velpt_ab_dcl_instrument_recovered","1156","upward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_host","velpt_ab_dcl_instrument_recovered","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-SBD17-04-VELPTA000","recovered_inst","velpt_ab_diagnostics_recovered","1154","eastward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_inst","velpt_ab_diagnostics_recovered","1155","northward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_inst","velpt_ab_diagnostics_recovered","1156","upward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_inst","velpt_ab_diagnostics_recovered","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-SBD17-04-VELPTA000","recovered_inst","velpt_ab_instrument_recovered","1154","eastward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_inst","velpt_ab_instrument_recovered","1155","northward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_inst","velpt_ab_instrument_recovered","1156","upward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","recovered_inst","velpt_ab_instrument_recovered","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-SBD17-04-VELPTA000","telemetered","velpt_ab_dcl_diagnostics","1154","eastward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","telemetered","velpt_ab_dcl_diagnostics","1155","northward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","telemetered","velpt_ab_dcl_diagnostics","1156","upward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","telemetered","velpt_ab_dcl_diagnostics","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-SBD17-04-VELPTA000","telemetered","velpt_ab_dcl_instrument","1154","eastward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","telemetered","velpt_ab_dcl_instrument","1155","northward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","telemetered","velpt_ab_dcl_instrument","1156","upward_velocity","m s-1"
"CE01ISSM-SBD17-04-VELPTA000","telemetered","velpt_ab_dcl_instrument","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","1","conductivity","S m-1"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","2","pressure","dbar"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","5","density","kg m-3"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","6","temp","deg_C"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","13","practical_salinity","1"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","5","density","kg m-3"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","13","practical_salinity","1"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2819","ctdbp_seawater_temperature","deg_C"
